index,feature_id,name_jp,description,type
275,Column_275,診断名 C66,診断コード: C66,binary
276,Column_276,診断名 C67,診断コード: C67,binary
277,Column_277,診断名 C68,診断コード: C68,binary
278,Column_278,診断名 C69,診断コード: C69,binary
279,Column_279,診断名 C70,診断コード: C70,binary
280,Column_280,診断名 C71,診断コード: C71,binary
281,Column_281,診断名 C72,診断コード: C72,binary
282,Column_282,診断名 C73,診断コード: C73,binary
283,Column_283,診断名 C74,診断コード: C74,binary
284,Column_284,診断名 C75,診断コード: C75,binary
285,Column_285,診断名 C76,診断コード: C76,binary
286,Column_286,診断名 C77,診断コード: C77,binary
287,Column_287,診断名 C80,診断コード: C80,binary
